variant_id,canonical_movement,image_path,image_sha256,visual_review,technique_review
SST-FIT-0063-V06,standing-hamstring-curl,/fit-v3-images/standing-hamstring-curl.png,c2b48e758add8e9c65bc7cf9dc1197c1856a86a0d9352d6750c96d0847e55f37,delegated AI visual correction review,not individually certified
SST-FIT-0280-V01,standing-shoulder-circles,/fit-v3-images/standing-shoulder-circles.png,c009446255b6455bf76e14ece406ec23742ecb53383839c0ed6f357d58bb3b2d,delegated AI visual correction review,not individually certified
SST-FIT-0280-V02,standing-shoulder-circles,/fit-v3-images/standing-shoulder-circles.png,c009446255b6455bf76e14ece406ec23742ecb53383839c0ed6f357d58bb3b2d,delegated AI visual correction review,not individually certified
SST-FIT-0280-V03,standing-shoulder-circles,/fit-v3-images/standing-shoulder-circles.png,c009446255b6455bf76e14ece406ec23742ecb53383839c0ed6f357d58bb3b2d,delegated AI visual correction review,not individually certified
SST-FIT-0280-V04,standing-shoulder-circles,/fit-v3-images/standing-shoulder-circles.png,c009446255b6455bf76e14ece406ec23742ecb53383839c0ed6f357d58bb3b2d,delegated AI visual correction review,not individually certified
SST-FIT-0082-V01,supine-heel-slide,/fit-v3-images/supine-heel-slide.png,061fd2384ae6217334dd3fc52e57cc4a3711fdfa021e457ebcc24efdfa909023,delegated AI visual correction review,not individually certified
SST-FIT-0082-V02,supine-heel-slide,/fit-v3-images/supine-heel-slide.png,061fd2384ae6217334dd3fc52e57cc4a3711fdfa021e457ebcc24efdfa909023,delegated AI visual correction review,not individually certified
SST-FIT-0082-V03,supine-heel-slide,/fit-v3-images/supine-heel-slide.png,061fd2384ae6217334dd3fc52e57cc4a3711fdfa021e457ebcc24efdfa909023,delegated AI visual correction review,not individually certified
SST-FIT-0082-V04,supine-heel-slide,/fit-v3-images/supine-heel-slide.png,061fd2384ae6217334dd3fc52e57cc4a3711fdfa021e457ebcc24efdfa909023,delegated AI visual correction review,not individually certified
SST-FIT-0059-V01,supported-single-leg-calf-raise,/fit-v3-images/supported-single-leg-calf-raise.png,8c5a91c0265d922a23867c645d1f18a9b43fdcfdbd5f55bc9058cbd32be0af58,delegated AI visual correction review,not individually certified
SST-FIT-0059-V02,supported-single-leg-calf-raise,/fit-v3-images/supported-single-leg-calf-raise.png,8c5a91c0265d922a23867c645d1f18a9b43fdcfdbd5f55bc9058cbd32be0af58,delegated AI visual correction review,not individually certified
SST-FIT-0059-V03,supported-single-leg-calf-raise,/fit-v3-images/supported-single-leg-calf-raise.png,8c5a91c0265d922a23867c645d1f18a9b43fdcfdbd5f55bc9058cbd32be0af58,delegated AI visual correction review,not individually certified
SST-FIT-0059-V04,supported-single-leg-calf-raise,/fit-v3-images/supported-single-leg-calf-raise.png,8c5a91c0265d922a23867c645d1f18a9b43fdcfdbd5f55bc9058cbd32be0af58,delegated AI visual correction review,not individually certified
SST-FIT-0059-V05,supported-single-leg-calf-raise,/fit-v3-images/supported-single-leg-calf-raise.png,8c5a91c0265d922a23867c645d1f18a9b43fdcfdbd5f55bc9058cbd32be0af58,delegated AI visual correction review,not individually certified
SST-FIT-0059-V06,supported-single-leg-calf-raise,/fit-v3-images/supported-single-leg-calf-raise.png,8c5a91c0265d922a23867c645d1f18a9b43fdcfdbd5f55bc9058cbd32be0af58,delegated AI visual correction review,not individually certified
SST-FIT-0022-V01,supported-single-leg-stand,/fit-v3-images/supported-single-leg-stand.png,cd7448d5c151f4edf5dbfa32abafefaa7d9d728ae58257713e84af32d5649a3f,delegated AI visual correction review,not individually certified
SST-FIT-0022-V02,supported-single-leg-stand,/fit-v3-images/supported-single-leg-stand.png,cd7448d5c151f4edf5dbfa32abafefaa7d9d728ae58257713e84af32d5649a3f,delegated AI visual correction review,not individually certified
SST-FIT-0022-V03,supported-single-leg-stand,/fit-v3-images/supported-single-leg-stand.png,cd7448d5c151f4edf5dbfa32abafefaa7d9d728ae58257713e84af32d5649a3f,delegated AI visual correction review,not individually certified
SST-FIT-0035-V01,supported-standing-heel-walk,/fit-v3-images/supported-standing-heel-walk.png,1adc488fc5913897989b5aa27e783fac40bfc2c7189d374a95c8c65d1978eca1,delegated AI visual correction review,not individually certified
SST-FIT-0035-V02,supported-standing-heel-walk,/fit-v3-images/supported-standing-heel-walk.png,1adc488fc5913897989b5aa27e783fac40bfc2c7189d374a95c8c65d1978eca1,delegated AI visual correction review,not individually certified
SST-FIT-0035-V03,supported-standing-heel-walk,/fit-v3-images/supported-standing-heel-walk.png,1adc488fc5913897989b5aa27e783fac40bfc2c7189d374a95c8c65d1978eca1,delegated AI visual correction review,not individually certified
SST-FIT-0066-V01,wall-push-up,/fit-v3-images/wall-push-up.png,7e4e713bbca2fca6ce330cc07dda4eecba7c16ebcd7baad23d2a87f5ed89a9b0,delegated AI visual correction review,not individually certified
SST-FIT-0066-V02,wall-push-up,/fit-v3-images/wall-push-up.png,7e4e713bbca2fca6ce330cc07dda4eecba7c16ebcd7baad23d2a87f5ed89a9b0,delegated AI visual correction review,not individually certified
SST-FIT-0066-V03,wall-push-up,/fit-v3-images/wall-push-up.png,7e4e713bbca2fca6ce330cc07dda4eecba7c16ebcd7baad23d2a87f5ed89a9b0,delegated AI visual correction review,not individually certified
SST-FIT-0066-V04,wall-push-up,/fit-v3-images/wall-push-up.png,7e4e713bbca2fca6ce330cc07dda4eecba7c16ebcd7baad23d2a87f5ed89a9b0,delegated AI visual correction review,not individually certified
SST-FIT-0066-V05,wall-push-up,/fit-v3-images/wall-push-up.png,7e4e713bbca2fca6ce330cc07dda4eecba7c16ebcd7baad23d2a87f5ed89a9b0,delegated AI visual correction review,not individually certified
SST-FIT-0066-V06,wall-push-up,/fit-v3-images/wall-push-up.png,7e4e713bbca2fca6ce330cc07dda4eecba7c16ebcd7baad23d2a87f5ed89a9b0,delegated AI visual correction review,not individually certified
